category,code,name_lt,price_eur,search_aliases_lt,wide_format_coverage,wide_format_label_lt,active,notes_lt
Kitos prekės ir paslaugos,1999,10 x 15 foto spausdinimas,0.6,,,,taip,
Kitos prekės ir paslaugos,1999x2,A5 foto spausdinimas,1.2,,,,taip,
Kitos prekės ir paslaugos,2000,A4 foto spausdinimas,2.5,,,,taip,
Kitos prekės ir paslaugos,2001,Dokumentinės nuotraukos,5,,,,taip,
Kitos prekės ir paslaugos,2003,Spauda ant puodelio,1,,,,taip,
Kitos prekės ir paslaugos,2009,Atlasinė juostelė,5,,,,taip,
Kitos prekės ir paslaugos,2022,A3 skaidre,3,,,,taip,
Kitos prekės ir paslaugos,2025,"Spalvoti lapai dideli, blizgesni",4,,,,taip,
Kitos prekės ir paslaugos,2029,Dovanų juostelė,2.5,,,,taip,
Kitos prekės ir paslaugos,2032,Lapeliai užrašams,5,,,,taip,
Kitos prekės ir paslaugos,2033,"Informacinis laikiklis A5, A6",6.5,,,,taip,
Kitos prekės ir paslaugos,2034,Informacinis laikiklis A4,10,,,,taip,
Kitos prekės ir paslaugos,2047,"Skaidrios įmautės, 100 vnt.",8,,,,taip,
Kitos prekės ir paslaugos,2052,Lipnus kaspinas,2,,,,taip,
Kitos prekės ir paslaugos,2059,Maži kalendoriai,1,,,,taip,
Kitos prekės ir paslaugos,2074,Elementai,5,,,,taip,
Kitos prekės ir paslaugos,8800,Reirisimo,5,,,,taip,
Kitos prekės ir paslaugos,9310,Taurė,1,,,,taip,
Kitos prekės ir paslaugos,9311,Medaliai,1,,,,taip,
Kitos prekės ir paslaugos,9312,Vienpusių vizitinių maketavimas,25,,,,taip,
Kitos prekės ir paslaugos,9313,Dvipusių vizitinių maketavimas,35,,,,taip,
Kitos prekės ir paslaugos,9314,Ženkliukų gamyba,3,,,,taip,
Kitos prekės ir paslaugos,9315,Raktų pakabukų gamyba,3,,,,taip,
Kitos prekės ir paslaugos,9316,Magnetų gamyba,2,,,,taip,
Kitos prekės ir paslaugos,9400,Notarinis siūlas,0.7,,,,taip,
